actual,proposed
0.0,0.19759701192378998
0.0,0.19492916762828827
0.0,0.1922987699508667
0.0,0.18967270851135254
0.0,0.187083438038826
0.0,0.1845608949661255
0.0,0.18213026225566864
0.0,0.1797599345445633
0.0,0.17735174298286438
0.0,0.17496894299983978
0.0,0.1727362871170044
0.0,0.17062200605869293
0.0,0.1685209423303604
0.0,0.16643135249614716
0.0,0.16432294249534607
0.0,0.16229239106178284
0.0,0.16030359268188477
0.0,0.15832261741161346
0.0,0.1564120203256607
0.0,0.15457133948802948
0.0,0.15276426076889038
0.0,0.15098899602890015
0.0,0.14924511313438416
0.0,0.14753025770187378
0.0,0.14577904343605042
0.0,0.14405731856822968
0.0,0.14239470660686493
0.0,0.1407257616519928
0.0,0.13908115029335022
0.0,0.1374933272600174
0.0,0.13595910370349884
0.0,0.13444504141807556
0.0,0.1329498440027237
0.0,0.1315038651227951
0.0,0.13007420301437378
0.0,0.12872405350208282
0.0,0.1274183690547943
0.0,0.12612318992614746
0.0,0.12487011402845383
0.0,0.12359299510717392
0.0,0.12232460081577301
0.0,0.12103216350078583
0.0,0.1197160854935646
0.0,0.11840932071208954
0.0,0.11711090058088303
0.0,0.11591756343841553
0.0,0.11476082354784012
0.0,0.11360715329647064
0.0,0.11252067983150482
0.0,0.11146662384271622
0.0,0.11044397950172424
0.0,0.10948440432548523
0.0,0.1085522472858429
0.0,0.1076146736741066
0.0,0.10670406371355057
0.0,0.10581937432289124
0.0,0.10495928674936295
0.0,0.10405831784009933
0.0,0.10324758291244507
0.0,0.1025218740105629
0.0,0.10178542137145996
0.0,0.10106708854436874
0.0,0.10036786645650864
